Sno;Province/State;Country;Time;Confirmed;Deaths;Recovered;
57;Jilin;Mainland China;12:00;1.0;0.0;0.0;
58;Liaoning;Mainland China;12:00;3.0;0.0;0.0;
59;Macau;Macau;12:00;2.0;0.0;0.0;
60;Ningxia;Mainland China;12:00;1.0;0.0;0.0;
61;Qinghai;Mainland China;12:00;0.0;0.0;0.0;
62;Shaanxi;Mainland China;12:00;3.0;0.0;0.0;
63;Shandong;Mainland China;12:00;6.0;0.0;0.0;
64;Shanghai;Mainland China;12:00;16.0;0.0;0.0;
65;Shanxi;Mainland China;12:00;1.0;0.0;0.0;
66;Sichuan;Mainland China;12:00;8.0;0.0;0.0;
67;Taiwan;Taiwan;12:00;1.0;0.0;0.0;
68;Tianjin;Mainland China;12:00;4.0;0.0;0.0;
69;Tibet;Mainland China;12:00;0.0;0.0;0.0;
70;Washington;US;12:00;1.0;0.0;0.0;
71;Xinjiang;Mainland China;12:00;2.0;0.0;0.0;
72;Yunnan;Mainland China;12:00;2.0;0.0;0.0;
73;Zhejiang;Mainland China;12:00;27.0;0.0;0.0;
74;;Japan;12:00;1.0;0.0;0.0;
75;;Thailand;12:00;3.0;0.0;0.0;
76;;South Korea;12:00;1.0;0.0;0.0;
77;;Singapore;12:00;1.0;0.0;0.0;
78;;Philippines;12:00;0.0;0.0;0.0;
79;;Malaysia;12:00;0.0;0.0;0.0;
80;;Vietnam;12:00;2.0;0.0;0.0;
81;;Australia;12:00;0.0;0.0;0.0;
82;;Mexico;12:00;0.0;0.0;0.0;
83;;Brazil;12:00;0.0;0.0;0.0;
84;Hubei;Mainland China;12:00;549.0;24.0;31.0;
85;Guangdong;Mainland China;12:00;53.0;0.0;2.0;
86;Zhejiang;Mainland China;12:00;43.0;0.0;1.0;
87;Beijing;Mainland China;12:00;36.0;0.0;1.0;
88;Chongqing;Mainland China;12:00;27.0;0.0;0.0;
89;Hunan;Mainland China;12:00;24.0;0.0;0.0;
90;Guangxi;Mainland China;12:00;23.0;0.0;0.0;
91;Shanghai;Mainland China;12:00;20.0;0.0;1.0;
92;Jiangxi;Mainland China;12:00;18.0;0.0;0.0;
93;Sichuan;Mainland China;12:00;15.0;0.0;0.0;
94;Shandong;Mainland China;12:00;15.0;0.0;0.0;
95;Anhui;Mainland China;12:00;15.0;0.0;0.0;
96;Fujian;Mainland China;12:00;10.0;0.0;0.0;
97;Henan;Mainland China;12:00;9.0;0.0;0.0;
98;Jiangsu;Mainland China;12:00;9.0;0.0;0.0;
99;Hainan;Mainland China;12:00;8.0;0.0;0.0;
100;Tianjin;Mainland China;12:00;8.0;0.0;0.0;
101;Yunnan;Mainland China;12:00;5.0;0.0;0.0;
102;Shaanxi;Mainland China;12:00;5.0;0.0;0.0;
103;Heilongjiang;Mainland China;12:00;4.0;1.0;0.0;
104;Liaoning;Mainland China;12:00;4.0;0.0;0.0;
105;Guizhou;Mainland China;12:00;3.0;0.0;0.0;
106;Jilin;Mainland China;12:00;3.0;0.0;0.0;
107;Taiwan;Taiwan;12:00;3.0;0.0;0.0;
108;Ningxia;Mainland China;12:00;2.0;0.0;0.0;
109;Hong Kong;Hong Kong;12:00;2.0;0.0;0.0;
110;Macau;Macau;12:00;2.0;0.0;0.0;
111;Hebei;Mainland China;12:00;2.0;1.0;0.0;
112;Gansu;Mainland China;12:00;2.0;0.0;0.0;
113;Xinjiang;Mainland China;12:00;2.0;0.0;0.0;
114;Shanxi;Mainland China;12:00;1.0;0.0;0.0;
115;Inner Mongolia;Mainland China;12:00;1.0;0.0;0.0;
116;Qinghai;Mainland China;12:00;0.0;0.0;0.0;
117;Washington;US;12:00;1.0;0.0;0.0;
118;Chicago;US;12:00;1.0;0.0;0.0;
119;;Japan;12:00;2.0;0.0;0.0;
120;;Thailand;12:00;5.0;0.0;0.0;
121;;South Korea;12:00;2.0;0.0;0.0;
122;;Singapore;12:00;3.0;0.0;0.0;
123;;Vietnam;12:00;2.0;0.0;0.0;
124;;France;04:00;2.0;0.0;0.0;
125;Hubei;Mainland China;10:00;1052.0;52.0;42.0;
126;Zhejiang;Mainland China;10:00;104.0;0.0;1.0;
127;Guangdong;Mainland China;12:00;98.0;0.0;2.0;
128;Henan;Mainland China;12:00;83.0;1.0;0.0;
129;Chongqing;Mainland China;12:00;75.0;0.0;0.0;
130;Hunan;Mainland China;12:00;69.0;0.0;0.0;
131;Anhui;Mainland China;12:00;60.0;0.0;0.0;
132;Beijing;Mainland China;12:00;51.0;0.0;2.0;
133;Sichuan;Mainland China;12:00;44.0;0.0;0.0;
134;Shanghai;Mainland China;12:00;40.0;1.0;1.0;
135;Shandong;Mainland China;12:00;39.0;0.0;0.0;
136;Jiangxi;Mainland China;12:00;36.0;0.0;0.0;
137;Guangxi;Mainland China;12:00;33.0;0.0;0.0;
138;Jiangsu;Mainland China;12:00;31.0;0.0;1.0;
139;Hainan;Mainland China;12:00;19.0;0.0;0.0;
140;Liaoning;Mainland China;12:00;19.0;0.0;0.0;
141;Fujian;Mainland China;12:00;18.0;1.0;0.0;
142;Heilongjiang;Mainland China;12:00;15.0;0.0;0.0;
143;Shaanxi;Mainland China;12:00;15.0;0.0;0.0;
144;Tianjin;Mainland China;12:00;13.0;0.0;0.0;
145;Hebei;Mainland China;12:00;13.0;1.0;0.0;
146;Yunnan;Mainland China;12:00;11.0;0.0;0.0;
147;Shanxi;Mainland China;12:00;9.0;0.0;0.0;
148;Inner Mongolia;Mainland China;12:00;7.0;0.0;0.0;
149;Gansu;Mainland China;12:00;7.0;0.0;0.0;
150;Guizhou;Mainland China;12:00;5.0;0.0;0.0;
151;Hong Kong;Hong Kong;12:00;5.0;0.0;0.0;
152;Ningxia;Mainland China;12:00;4.0;0.0;0.0;
153;Jilin;Mainland China;12:00;4.0;0.0;0.0;
154;Xinjiang;Mainland China;12:00;4.0;0.0;0.0;
155;Taiwan;Taiwan;12:00;3.0;0.0;0.0;
156;Macau;Macau;12:00;2.0;0.0;0.0;
157;Qinghai;Mainland China;12:00;1.0;0.0;0.0;
158;Washington;US;12:00;1.0;0.0;0.0;
159;Illinois;US;12:00;1.0;0.0;0.0;
160;;Japan;12:00;2.0;0.0;0.0;
161;;Thailand;12:00;7.0;0.0;0.0;
162;;South Korea;12:00;3.0;0.0;0.0;
163;;Singapore;12:00;3.0;0.0;0.0;
164;;Vietnam;12:00;2.0;0.0;0.0;
165;;France;12:00;3.0;0.0;0.0;
166;;Australia;12:00;4.0;0.0;0.0;
167;;Nepal;12:00;1.0;0.0;0.0;
168;;Malaysia;12:00;3.0;0.0;0.0;
169;Hubei;Mainland China;23:00;1423.0;76.0;44.0;
170;Guangdong;Mainland China;23:00;146.0;0.0;2.0;
171;Zhejiang;Mainland China;23:00;128.0;0.0;1.0;
172;Henan;Mainland China;23:00;128.0;1.0;0.0;
173;Chongqing;Mainland China;23:00;110.0;0.0;0.0;
174;Hunan;Mainland China;23:00;100.0;0.0;0.0;
175;Anhui;Mainland China;23:00;70.0;0.0;0.0;
176;Sichuan;Mainland China;23:00;69.0;0.0;0.0;
177;Beijing;Mainland China;23:00;68.0;0.0;2.0;
178;Shandong;Mainland China;23:00;63.0;0.0;0.0;
179;Shanghai;Mainland China;23:00;53.0;1.0;1.0;
180;Jiangxi;Mainland China;23:00;48.0;0.0;0.0;
181;Jiangsu;Mainland China;23:00;47.0;0.0;1.0;
182;Guangxi;Mainland China;23:00;46.0;0.0;0.0;
183;Fujian;Mainland China;23:00;35.0;0.0;0.0;
184;Liaoning;Mainland China;23:00;23.0;0.0;0.0;
185;Hainan;Mainland China;23:00;22.0;0.0;0.0;
186;Shaanxi;Mainland China;23:00;22.0;0.0;0.0;
187;Heilongjiang;Mainland China;23:00;21.0;1.0;0.0;
188;Yunnan;Mainland China;23:00;19.0;0.0;0.0;
189;Hebei;Mainland China;23:00;18.0;1.0;0.0;
190;Tianjin;Mainland China;23:00;14.0;0.0;0.0;
191;Gansu;Mainland China;23:00;14.0;0.0;0.0;
192;Shanxi;Mainland China;23:00;13.0;0.0;0.0;
193;Inner Mongolia;Mainland China;23:00;11.0;0.0;0.0;
194;Hong Kong;Hong Kong;23:00;8.0;0.0;0.0;
195;Guizhou;Mainland China;23:00;7.0;0.0;0.0;
196;Jilin;Mainland China;23:00;6.0;0.0;0.0;
197;Macau;Macau;23:00;6.0;0.0;0.0;
198;Xinjiang;Mainland China;23:00;5.0;0.0;0.0;
199;Ningxia;Mainland China;23:00;4.0;0.0;0.0;
200;Taiwan;Taiwan;23:00;4.0;0.0;0.0;
201;Qinghai;Mainland China;23:00;4.0;0.0;0.0;
202;Washington;US;23:00;1.0;0.0;0.0;
203;Illinois;US;23:00;1.0;0.0;0.0;
204;California;US;23:00;2.0;0.0;0.0;
205;Arizona;US;23:00;1.0;0.0;0.0;
206;;Japan;23:00;4.0;0.0;1.0;
207;;Thailand;23:00;8.0;0.0;2.0;
208;;South Korea;23:00;3.0;0.0;0.0;
209;;Singapore;23:00;4.0;0.0;0.0;
210;;Vietnam;23:00;2.0;0.0;0.0;
211;;France;23:00;3.0;0.0;0.0;
212;;Australia;23:00;4.0;0.0;0.0;
213;;Nepal;23:00;1.0;0.0;0.0;
214;;Malaysia;23:00;4.0;0.0;0.0;
215;Ontario;Canada;23:00;1.0;0.0;0.0;
216;Hubei;Mainland China;20:30;2714.0;100.0;47.0;
217;Zhejiang;Mainland China;20:30;173.0;0.0;1.0;
218;Henan;Mainland China;20:30;168.0;1.0;0.0;
219;Guangdong;Mainland China;20:30;151.0;0.0;4.0;
220;Chongqing;Mainland China;20:30;132.0;0.0;0.0;
221;Anhui;Mainland China;20:30;106.0;0.0;0.0;
222;Hunan;Mainland China;20:30;100.0;0.0;0.0;
223;Sichuan;Mainland China;20:30;90.0;0.0;0.0;
224;Shandong;Mainland China;20:30;87.0;1.0;0.0;
225;Beijing;Mainland China;20:30;80.0;1.0;2.0;
226;Jiangxi;Mainland China;20:30;72.0;0.0;2.0;
227;Jiangsu;Mainland China;20:30;70.0;0.0;1.0;
228;Shanghai;Mainland China;20:30;66.0;1.0;3.0;
229;Fujian;Mainland China;20:30;59.0;0.0;0.0;
230;Guangxi;Mainland China;20:30;51.0;0.0;0.0;
231;Shaanxi;Mainland China;20:30;35.0;0.0;0.0;
232;Hainan;Mainland China;20:30;33.0;1.0;0.0;
233;Hebei;Mainland China;20:30;33.0;1.0;0.0;
234;Heilongjiang;Mainland China;20:30;30.0;1.0;0.0;
235;Liaoning;Mainland China;20:30;27.0;0.0;0.0;
236;Yunnan;Mainland China;20:30;26.0;0.0;0.0;
237;Tianjin;Mainland China;20:30;23.0;0.0;0.0;
238;Shanxi;Mainland China;20:30;20.0;0.0;0.0;
239;Gansu;Mainland China;20:30;19.0;0.0;0.0;
240;Inner Mongolia;Mainland China;20:30;11.0;0.0;0.0;
241;Guizhou;Mainland China;20:30;9.0;0.0;0.0;
242;Hong Kong;Hong Kong;20:30;8.0;0.0;0.0;
243;Ningxia;Mainland China;20:30;7.0;0.0;0.0;
244;Jilin;Mainland China;20:30;6.0;0.0;0.0;
245;Macau;Macau;20:30;6.0;0.0;0.0;
246;Qinghai;Mainland China;20:30;6.0;0.0;0.0;
247;Taiwan;Taiwan;20:30;5.0;0.0;0.0;
248;Xinjiang;Mainland China;20:30;5.0;0.0;0.0;
249;Washington;US;20:30;1.0;0.0;0.0;
250;Illinois;US;20:30;1.0;0.0;0.0;
251;California;US;20:30;2.0;0.0;0.0;
252;Arizona;US;20:30;1.0;0.0;0.0;
253;;Japan;20:30;4.0;0.0;1.0;
254;;Thailand;20:30;8.0;0.0;2.0;
255;;South Korea;20:30;4.0;0.0;0.0;
256;;Singapore;20:30;5.0;0.0;0.0;
257;;Vietnam;20:30;2.0;0.0;0.0;
258;;France;20:30;3.0;0.0;0.0;
259;;Nepal;20:30;1.0;0.0;0.0;
260;;Malaysia;20:30;4.0;0.0;0.0;
261;Ontario;Canada;20:30;1.0;0.0;0.0;
262;;Cambodia;20:30;1.0;0.0;0.0;
263;;Sri Lanka;20:30;1.0;0.0;0.0;
264;;Ivory Coast;20:30;0.0;0.0;0.0;
265;New South Wales;Australia;20:30;4.0;0.0;0.0;
266;Victoria;Australia;20:30;1.0;0.0;0.0;
267;Bavaria;Germany;20:30;1.0;0.0;0.0;
268;Hubei;Mainland China;23:00;3554.0;125.0;80.0;
269;Zhejiang;Mainland China;23:00;296.0;0.0;3.0;
270;Guangdong;Mainland China;23:00;241.0;0.0;5.0;
271;Hunan;Mainland China;23:00;221.0;0.0;0.0;
272;Henan;Mainland China;23:00;206.0;2.0;1.0;
273;Anhui;Mainland China;23:00;152.0;0.0;0.0;
274;Chongqing;Mainland China;23:00;147.0;0.0;1.0;
275;Shandong;Mainland China;23:00;121.0;0.0;0.0;
276;Jiangxi;Mainland China;23:00;109.0;0.0;3.0;
277;Sichuan;Mainland China;23:00;108.0;0.0;0.0;
278;Jiangsu;Mainland China;23:00;99.0;0.0;1.0;
279;Beijing;Mainland China;23:00;91.0;1.0;4.0;
280;Fujian;Mainland China;23:00;82.0;0.0;0.0;
281;Shanghai;Mainland China;23:00;80.0;1.0;4.0;
282;Guangxi;Mainland China;23:00;58.0;0.0;2.0;
283;Shaanxi;Mainland China;23:00;56.0;0.0;0.0;
284;Hebei;Mainland China;23:00;48.0;1.0;0.0;
285;Yunnan;Mainland China;23:00;44.0;0.0;0.0;
286;Hainan;Mainland China;23:00;43.0;1.0;0.0;
287;Heilongjiang;Mainland China;23:00;37.0;1.0;0.0;
288;Liaoning;Mainland China;23:00;36.0;0.0;0.0;
289;Shanxi;Mainland China;23:00;27.0;0.0;0.0;
290;Tianjin;Mainland China;23:00;25.0;0.0;0.0;
291;Gansu;Mainland China;23:00;24.0;0.0;0.0;
292;Inner Mongolia;Mainland China;23:00;16.0;0.0;0.0;
293;Xinjiang;Mainland China;23:00;13.0;0.0;0.0;
294;Ningxia;Mainland China;23:00;12.0;0.0;0.0;
295;Guizhou;Mainland China;23:00;9.0;0.0;0.0;
296;Jilin;Mainland China;23:00;9.0;0.0;0.0;
297;Hong Kong;Hong Kong;23:00;8.0;0.0;0.0;
298;Taiwan;Taiwan;23:00;8.0;0.0;0.0;
299;Macau;Macau;23:00;7.0;0.0;0.0;
300;Qinghai;Mainland China;23:00;6.0;0.0;0.0;
301;Washington;US;18:00;1.0;0.0;0.0;
302;Illinois;US;23:00;1.0;0.0;0.0;
303;California;US;23:00;2.0;0.0;0.0;
304;Arizona;US;23:00;1.0;0.0;0.0;
305;;Japan;23:00;7.0;0.0;1.0;
306;;Thailand;23:00;14.0;0.0;5.0;
307;;South Korea;23:00;4.0;0.0;0.0;
308;;Singapore;23:00;7.0;0.0;0.0;
309;;Vietnam;23:00;2.0;0.0;0.0;
310;;France;23:00;4.0;0.0;0.0;
311;;Nepal;23:00;1.0;0.0;0.0;
312;;Malaysia;23:00;7.0;0.0;0.0;
313;Ontario;Canada;23:00;1.0;0.0;0.0;
314;British Columbia;Canada;23:00;1.0;0.0;0.0;
315;;Cambodia;23:00;1.0;0.0;0.0;
